date,revenue,expenses,profit,projects_completed,projects_delayed,new_clients,churned_clients,late_payments,outstanding_invoices,employee_satisfaction,customer_satisfaction
2023-01-31,52000,36000,16000,8,2,4,1,3,23000,4.2,4.5
2023-02-28,54800,37800,17000,9,1,5,0,2,24500,4.3,4.6
2023-03-31,57500,39500,18000,10,2,6,1,4,26000,4.1,4.4
2023-04-30,60300,41000,19300,11,3,7,2,5,27500,4.0,4.3
2023-05-31,63400,43000,20400,12,2,8,1,3,29000,4.2,4.5
2023-06-30,66500,45000,21500,13,4,9,2,6,31000,3.9,4.2
2023-07-31,69800,47000,22800,14,3,10,1,4,33000,4.1,4.4
2023-08-31,73300,49500,23800,15,5,11,3,7,35000,3.8,4.1
2023-09-30,77000,52000,25000,16,4,12,2,5,37000,4.0,4.3
2023-10-31,80800,54500,26300,17,6,13,4,8,39500,3.7,4.0
2023-11-30,84800,57000,27800,18,5,14,3,6,42000,3.9,4.2
2023-12-31,89000,60000,29000,19,7,15,5,9,45000,3.6,3.9
